_id,title,tuotenumero,createdAt,updatedAt,__v,artist,created_by,updated_by,Taiteilija,teosnimi,nayttokuva,hinta,korkeus,leveys,tekniikka,valmistumisvuosi,vedosmaara
5f7ef1222adb35056c7875a3,Polameri,,2020-10-08T10:59:46.511Z,2020-10-08T10:59:46.527Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Talitintti,[],150,30,21,Serigrafia,,
5f7ef1482adb35056c7875a4,Polameri,,2020-10-08T11:00:24.574Z,2020-10-08T11:00:24.586Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Kuikka,[],150,35,50,Serigrafia,,
5f7ef1b72adb35056c7875a5,Polameri,,2020-10-08T11:02:15.651Z,2020-10-08T11:02:15.663Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Lapin pöllö,[],150,43,32,Serigrafia,1987,
5f7ef2172adb35056c7875a6,Polameri,,2020-10-08T11:03:51.111Z,2020-10-08T11:03:51.130Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Nokipannukahvi,[],150,34,46,Serigrafia,1987,
5f7ef25e2adb35056c7875a7,Polameri,,2020-10-08T11:05:02.689Z,2020-10-08T11:05:02.702Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Silkkiuikku,[],150,35,50,Serigrafia,1990,
5f7ef2a82adb35056c7875a8,Polameri,,2020-10-08T11:06:16.988Z,2020-10-08T11:06:17.001Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Omenapuun alla,[],180,50,54,Serigrafia,2005,175
5f7ef2f42adb35056c7875a9,Polameri,,2020-10-08T11:07:32.336Z,2020-10-08T11:07:32.348Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Erämaa - lintu,[],150,32,45,Serigrafia,1990,
5f7ef3cc2adb35056c7875aa,Polameri,,2020-10-08T11:11:08.721Z,2020-10-08T11:11:08.732Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Sorsahoukutin,[],150,43,57,Serigrafia,1991,
5f7ef3fb2adb35056c7875ab,Polameri,,2020-10-08T11:11:55.391Z,2020-10-08T11:11:55.403Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Sorsahoukutin tekstillä,[],150,61,33,Serigrafia,1991,
5f7ef4352adb35056c7875ac,Polameri,,2020-10-08T11:12:53.383Z,2020-10-08T11:12:53.408Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Jyrkänne,[],200,48,63,Serigrafia,1989,
5f7ef48a2adb35056c7875ad,Polameri,,2020-10-08T11:14:18.118Z,2020-10-08T11:14:18.129Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Lapin sininen hetki,[],150,43,58,Serigrafia,1981,
